EventID,ActorName,TargetName,HostName,ActorID,TargetID,HostID,DyadID,Host_agency,Event_type,Year,Month,Day,Quarter,Eventsummary,Source,Host_agency,Twelve_rule,Announcementform,Crackdownform,Crackdown_dislodged,Crackdown_dislodged_justification,Crackdown_Leadershipdecapitation,Crackdown_Leadershipdecapitation_summary,Crackdown_intrusive,Crackdown_joint,Crackdown_intrusive_joint_summary,Dom_territoryname,Accession_eventclarity,Accession_dateclarity,Pledge_eventclarity,Pledge_dateclarity,Crackdown_eventclarity,Crackdown_dateclarity,Dom_eventclarity,Dom_dateclarity
20,AFDL,DR Congo (Zaire),Rwanda,422,490,517,584,,Accession,1996,10,18,,"(1) ""On Friday, October 18, 1996 (…) the Alliance des Forces Démocratiques pour la Libération du Congo-Zaïre (AFDL) as the vehicle to pursue regime change [was] (…) brought together by Paul Kagame. (…) [There was] maximum Rwandan support to a Congolese liberation movement that would oust Mobutu""","Roessler and Verhoeven 2017: 177, 175",,,,,,,,,,,,,4,4,,,,,,
21,AIAI,Ethiopia,Somalia,542,530,520,718,,Accession,1982,NA,,1,"(1) ""[At founding in 1982] These two Wahhabi organizations [AIAI's predecessors] were operating secretly in the country [Somalia] during early years of their association""; (2) ""The group (...) was Neo-Salafist and based in Puntland, in north-eastern Somalia. (…) The group later had a base in Laas Qoray in Somaliland """,Sheikh 2019: 51; UCDP/actor/542,,,,,,,,,,,,,4,4,,,,,,
22,AIAI,Ethiopia,Somalia,542,530,520,718,2,Crackdown,1996,8,9,,"(1) ""Ethiopian regime was determined to eliminate the group of AIAI inside Somalia. On August 9, 1996, it launched an attack against AIAI's bases across border of Somalia at Bulo Hawa, Luuq and other areas. Al-Itihad AlIslamiyah's intelligence group had already got information about the Ethiopia attack. AIAI had gone out of the cities and they went with their military bases without fighting and fled to the forest land of the region""; (2) ""in 1996, the Ethiopian government attacked AIAI bases inside Somalia (…) In heavy fighting the groups main base at Luuq was destroyed. Further fighting was announced in Dolow, Somalia, in September, and again in December.""; (3) This eventually provoked military strikes from the Ethiopian army against AIAI camps around the town of Luuq in the Gedo region in 1996 and 1997.""; (4) ""From 1996 to 1997, Ethiopian defence forces entered Somalia’s Gedo region as part of a military campaign against Al-Ittihad Al-Islamiya (AIAI)""; (5) ""Ethiopia resolved to eliminate AIAI. So, on August 9, 1996, it launched the first of two raids on AIAI bases across the border in Somalia at Luuq and Buulo Haawa. The strike was limited and targeted but failed to find and destroy the AIAI leadership, which had gone into hiding.""",Sheikh 2019: 54; UCDP/actor/542; Hoehne and Gaas 2022: 415; Newbery 2021: 257; Terdman 2008: 50,2,,,3,,,0,,1,0,"(1) ""[The Ethiopian army] launched an attack against AIAI's bases across border of Somalia at Bulo Hawa, Luuq and other areas""; (2) ""the Ethiopian government attacked AIAI bases inside Somalia""",,,,,,5,5,,
23,AIAI,Ethiopia,Somalia,542,530,520,718,2,Crackdown_dislodged,1996,12,,,"(1) ""In [December 1996-]January 1997, Ethiopian troops launched another raid on AIAI in that region. In this war, many of the Islamists were killed and wounded, the training camps were destroyed and the group crashed both military and administratively. From that time, Gedo region had fallen under the control of the clan militia supported by Ethiopia. The destruction of AIAI, nevertheless, did not lead to its total disappearance inside Somalian society. The effective leaders of the group returned to their hometowns and started living in the community.""; (2) ""This eventually provoked military strikes from the Ethiopian army against AIAI camps around the town of Luuq in the Gedo region in 1996 and 1997. AIAI ceased to exist as an organised movement in the late 1990s""; (3) ""From 1996 to 1997, Ethiopian defence forces entered Somalia’s Gedo region as part of a military campaign against Al-Ittihad Al-Islamiya (AIAI)""; (4) ""In late 1996, the Ethiopians lost patience, and conducted a series of raids across the border, dismantling al-Ittihad’s camps, and dispersing its membership. While most of its members returned to civilian life and others established a non-violent salafi political movement named Al-I’tisaam b’il Kitaab wa Sunna, a handful of die-hards remained committed to the cause of jihad.""; (5) ""Since the late 1990s there have been differing accounts as to the continued existence of AIAI in Somalia. While some reports claim that they are still a viable, though clandestine, force most experts argue that AIAI is no longer a force to count with""; (6) ""In [December 1996/]January 1997, Ethiopian forces returned. Many of the Islamists were killed or injured, the training camps were dismantled and AIAI's short lived terrorist activities in Ethiopia came to an end. Officially, at least, AIAI, both in Ethiopia and in Somalia, ceased to exist, although during its heyday in the early 1990s, AIAI had a militia of more than 1,000 strong."" ",Sheikh 2019: 53; Hoehne and Gaas 2022: 415; Newbery 2021: 257; Hummel 2019; UCDP/actor/542,2,,,3,,"(1) "" the training camps were destroyed and the group crashed both military and administratively. From that time, Gedo region had fallen under the control of the clan militia supported by Ethiopia"" (Sheikh 2019: 53); (2) "" dismantling al-Ittihad’s camps, and dispersing its membership"" ( Hummel 2019)",0,"""many of the Islamists were killed and wounded, the training camps were destroyed"" (Sheikh 2019: 53)",1,0,"(1) ""[The Ethiopian army] launched an attack against AIAI's bases across border of Somalia at Bulo Hawa, Luuq and other areas""; (2) ""the Ethiopian government attacked AIAI bases inside Somalia""",,,,,,5,5,,
24,ALiR,Rwanda,DR Congo (Zaire),1128,517,490,805,,Accession,1998,6,,,"(1) ""By mid-1998, the RPA crushed the uprising [of ALiR, FDLR's predecessor organisation, in Northern Rwanda], killing and capturing key ALiR commanders and combatants, and the ALiR was subsequently restructured into two separate branches in the Congo, with help from President Kabila who broke his earlier ties with the Rwandan government. ALiR I was based in Masisi (North Kivu) and Shabunda (South Kivu), and ALiR II was based in Kinshasa""",Rafti 2006: 9,,,,,,,,,,,,,4,4,,,,,,
25,Ambazonia insurgents,Cameroon,Nigeria,7332,471,475,15895,,Accession,2017,11,,,"(1) ""With the escalation of violence, several Anglophone Cameroonians, especially in the border areas, fled to Nigeria for safety. The flight of Cameroon Anglophone refugees was facilitated by the reopening of the border on 16 November 2017 and the existence of cultural affinities across the border strengthened by marriage and cross-border linkages of ethnicity among the Ejagam and the Boki ethnic groups.""; (2) ""to the extent the crisis is expanding at all, it is in the opposite direction: into Nigeria, which borders Cameroon to the west""",Agbu and Okereke 2022: 299; Corey-Boulet 2018,,,,,,,,,,,,,,,,,,,,
26,Ambazonia insurgents,Cameroon,Nigeria,7332,471,475,15895,1,Crackdown,2018,1,5,,"(1) ""A key Cameroonian separatist leader arrested in Abuja earlier this month has been deported by Nigerian authorities to Cameroon""; (2) ""continued, it was the arrest of Sisiku Julius Ayuktabe alongside 12 other Southern Cameroons pro-Ambazonia leaders at Nera Hotel, Abuja, Nigeria, on 5 January 2018 and subsequent transfer of 10 of them to Cameroon on Friday 26 January 2018 that led to the full-scale armed struggle for the independent State of Ambazonia. Those arrested were Sisiku Julius AyukTabe (President of the interim government of Ambazonia), Dr Nfor Ngala Nfor (Chairman of Southern Cameroons National Council-SCNC), Dr Fidelis Nde Che, Dr Henry Kimeng, Prof Augustine Awasum and Dr Cornelius Kwanga.""; (3) ""the Nigerian authority took custody of Sisiku Jukius Ayuktabe and 11 other pro-Ambazonia leaders at Nera Hotel, Abuja, in January 2018 and transferred 10 of these leaders, along with 37 other Anglophone Cameroonians arrested in Taraba State (Northeast Nigeria) on 30 December 2017, to Cameroonian authorities for prosecution. (...) Furthermore, as part of efforts to prevent the influx of foreign fighters from Nigeria into its Anglophone regions, the Cameroonian military, working in concert with the Nigerian military, stopped hundreds of Nigerian mercenaries from crossing the borders to join the separatist groups in the conflict zone.""; (3) ""[Cameroonian] cross-border violations in pursuit of pro-Ambazonia separatist fighters became more pronounced in the new year as Cameroon soldiers allegedly carried out cross-border raids at Danare-Daddi and Danare Bodam communities (…) The violation of shared border areas by Cameroonian troops assumed another dimension on 20 February 2018, when personnel of Cameroon’s military mounted an armoured tank with a plethora of well-armed personnel on the Cameroon end of the Ekok-Mfum bridge linking both countries (Negroid Haven, 2018). This action was vehemently challenged by the Head of Nigerian Immigration post at Mfum, Lawrence Asuquo, who described the situation as a war situation and an infringement on international protocols.""",Reuters 2018; Agbu and Okereke 2022: 299; Agbu and Okereke 2022: 160; Agbu and Okereke 2022: 163,1,,,1,,"(1) ""[As of 2021]  both groups [i.e. Ambazonians and Biafrans still had] rear bases where they can retreat, beyond the reach of their respective countries' armed forces. This is especially significant in Cameroon, where he said the ""army was practically absent [from the areas hit by conflict] before the insurgency and therefore has extremely limited knowledge of the area"" (BBC 2021)",,,1,1,"(1) ""the Cameroonian military, working in concert with the Nigerian military, stopped hundreds of Nigerian mercenaries from crossing the borders to join the separatist groups in the conflict zone""; (2) ""[Cameroonian] cross-border violations in pursuit of pro-Ambazonia separatist fighters became more pronounced in the new year as Cameroon soldiers allegedly carried out cross-border raids at Danare-Daddi and Danare Bodam communities""; (3) ""Cameroon’s military mounted an armoured tank with a plethora of well-armed personnel on the Cameroon end of the Ekok-Mfum bridge linking both countries""",,,,,,5,5,,
27,Ambazonia insurgents,Cameroon,Nigeria,7332,471,475,15895,,Toleration,2019,10,23,,,,,1,,,,,,,,,,,,,,,,,,
28,Ambazonia insurgents,Cameroon,Nigeria,7332,471,475,15895,1,Crackdown,2021,6,25,,"(1) ""The Nigerian security operatives have allegedly arrested a senior commander of the Ambazonia separatist fighters, General Black Mamba around the Ikom border town. According to Biafra Nations League (BNL), scores of Ambazonians were also arrested alongside the leader, which has caused tension and panic at the Nigeria-Cameroon borders, Daily Post reports. The security agencies are said to be carrying out the arrest after the Ambazonians attacked Nigeria security men and took their guns.""",Sahara Reporters 2021,1,,,1,,"(1) ""[As of 2021]  both groups [i.e. Ambazonians and Biafrans still had] rear bases where they can retreat, beyond the reach of their respective countries' armed forces. This is especially significant in Cameroon, where he said the ""army was practically absent [from the areas hit by conflict] before the insurgency and therefore has extremely limited knowledge of the area"" (BBC 2021)",,,0,0,,,,,,,4,4,,
29,ARDUF,Ethiopia,Eritrea,520,530,531,791,,Accession,1995,3,,,"(1) ""Afar Revolutionary Democratic Unity Front (ARDUF), most of which are based in Eritrea""; (2) ""[The first time ARDUF conducted operations from Eritrea:] Missing Italian tourists were (...) kidnapped [and brought to Eritrea] by members of Ugugumo, an Afar militia in Ethiopia linked to ARDUF.""",Tilahun 2015: 4; MAR 2004,,,,,,,,,,,,,,,,,,,,
30,ARDUF,Ethiopia,Eritrea,520,530,531,791,1,Crackdown,1995,12,,,"(1) ""Tigrean forces are thought to have operated with Eritrean forces to invade the Afar regions of each state [and attack ARDUF] in December 1995.""",MAR (2004),1,,,3,,,0,,1,1,"(1) ""Tigrean forces are thought to have operated with Eritrean forces to invade the Afar regions of each state [and attack ARDUF] in December 1995.""",,,,,,3,3,,
31,ARDUF,Ethiopia,Eritrea,520,530,531,791,,Toleration,1996,12,,,,,,1,,,,,,,,,,,,,,,,,,
32,ARDUF,Ethiopia,Eritrea,520,530,531,791,0,Crackdown,2012,5,28,,"(1) ""[There was a] crossborder raid by Ethiopian forces in mid-March in pursuit of rebel groups purportedly operating under the banner of the Afar Revolutionary Democratic Unity Front (ARDUF). Ethiopia holds ARDUF responsible for killing five European tourists and kidnapping two others (who were later freed) near the border in January, and alleges that the Eritrean government funds and trains the rebel group.""",EIU 2012,0,,,3,,,0,,1,1,,,,,,,3,4,,
33,ARDUF,Ethiopia,Eritrea,520,530,531,791,,Toleration,2013,5,28,,,,,1,,,,,,,,,,,,,,,,,,
34,ATTF,India,Bangladesh,306,750,771,739,,Accession,2000,NA,,1,"(1) ""The bulk of the leadership is based in Bangladesh, outside the reach of Indian security forces, and contains many safe havens for the militants.""; (2) ""[For the first time ever, in] June 12: Chief Minister Manik Sarkar [of India] discloses that the State government has submitted to the Union government a comprehensive report containing details and precise location of 21 NLFT and eight All Tripura Tiger Front (ATTF) base camps in neighbouring Bangladesh.""",UCDP/actor/306; SATP 2012,,,,,,,,,,,,,4,4,,,,,,
35,ATTF,India,Bangladesh,306,750,771,739,1,Crackdown,2002,6,7,,"(1) ""Reports say, the ATTF has re-located its main base camp in Bangladesh from Satcherri to a new place--opposite Sidhai in West Tripura district--following a joint operation by Bangladesh Rifles (BDR) and Bangladesh Army personnel.""",SATP 2012,1,,,3,,,0,,0,0,,,,,,,3,3,,
36,ATTF,India,Bangladesh,306,750,771,739,,Toleration,2003,6,7,,,,,1,,,,,,,,,,,,,,,,,,
37,ATTF,India,Bangladesh,306,750,771,739,1,Crackdown,2006,1,12,,"(1) ""Bangladeshi security forces reportedly close down an ATTF camp at Satcherri in the Habiganj district and arrest two militants, Jogesh Debbarma and Surendra Debabrma.""; (2) ""September 28: Tripura Chief Minister, Manik Sarkar, said at a press briefing, ""Total number of NLFT and ATTF hideouts in Bangladesh has reduced from 56 to 26 recently""""",SATP 2012,1,,,5,,,0,,0,0,,,,,,,3,3,,
38,ATTF,India,Bangladesh,306,750,771,739,,Toleration,2007,1,12,,,,,1,,,,,,,,,,,,,,,,,,
39,ATTF,India,Bangladesh,306,750,771,739,1,Pledge,2009,1,,,"(1) ""[Upon inaguration in January] 2009, Prime Minister Sheikh Hasina pledged not to allow her country’s territory to be used by groups inimical to India’s interests.""; (2) ""After the pro-India Awami League swept to power in [Bangladesh in] 2008, the ULFA rank and file knew their days in the country were numbered. The safer option was to relocate to the camps in Myanmar, but that would have meant crossing over to Arakan in Burma from Bangladesh, which entailed a month-long arduous journey through hundreds of kilometres of inhospitable terrain to Chin Province and then onward to Sagaing Division.""; (3) ""Dhaka and New Delhi took significant steps to formalise security cooperation when Sheikh Hasina visited New Delhi in January 2010. Three agreements on security cooperation were signed at the summit meeting with Manmohan Singh: Mutual Legal Assistance on Criminal Matters; Transfer of Sentenced Persons; and Combating International Terrorism, Organised Crime, and Illicit Drug Trafficking. The two countries have also initiated discussions on an extradition treaty""; (4) ""February 8: Telegraph reports that the Unified Command Structures of Assam and Arunachal Pradesh have launched a joint operation to neutralize transit camps (...) The objective is to stop the militants from moving out of Bangladesh and from reaching Myanmar. The Sheikh Hasina regime has made her stand very clear vis-à-vis militant groups from India operating from Bangladeshi soil. Things will only get tough for the rebels in Bangladesh,"" he added.""; (5) ""after the AL came to power with a huge mandate, in 2009, the government took steps for course correction. As a result, India showed a positive outlook for the AL-led Bangladesh Government, which, in turn, established a strong bond between them.""",Bhattacharjee 2018: 305; Bhattacharyya 2014: 106; Chakma 2012: 13; SATP 2010: 24; Rana 2018: 566,1,,1,,,,,,,,,,,,5,2,,,,
40,ATTF,India,Bangladesh,306,750,771,739,1,Crackdown,2009,8,,,"(1) ""With this latest surrender, 17 militants of the banned ATTF have surrendered their arms and ammunition during the past one week after deserting their camps in neighbouring Bangladesh. ""We have managed to escape from our camps in Sylhet District after Bangladesh launched anti-insurgency operations in different parts of that country. Some more guerrillas may sneak into Tripura any time from across the border,"" Debbarma confessed before the BSF personnel."" ; (2) ""[Yet still in April 2010] altogether 187 women cadres of the outfit are being trained in Tarabon, Kalu Adam, Pancherri and Bandarban areas in Bangladesh's Chittagong Hill Tracts over the past two months. But those camps would be shifted to the nearby Arakan areas of Myanmar in case the Bangladesh Government launched counter-insurgency operation.""",SATP 2012; SATP 2012,1,,,3,,,0,,0,0,,,,,,,3,3,,
41,ATTF,India,Bangladesh,306,750,771,739,,Toleration,2010,8,,,,,,1,,,,,,,,,,,,,,,,,,
42,ATTF,India,Bangladesh,306,750,771,739,1,Crackdown,2012,12,30,,"(1) ""December 30: SFs in Bangladesh have reportedly arrested ATTF 'chief' Ranjit Debbarma from Dhaka.""; (2) ""[Yet still in 2014] BSF believes that of 45 militant camps in Bangladesh 21 belong to groups such as ULFA NLFT and ATTF.""",SATP 2012; SATP 2014,1,,,3,,,0,,0,0,,,,,,,3,3,,
43,ATTF,India,Bangladesh,306,750,771,739,,Toleration,2013,12,30,,,,,1,,,,,,,,,,,,,,,,,,
44,Boko Haram,Nigeria,Cameroon,1051,475,471,297,,Accession,2009,NA,,1,"(1) ""in 2009, traces of the sect [Boko Haram] at the border between Cameroon and Nigeria became obvious when members of Boko Haram fleeing Nigerian security forces were forced to settle or pass through Fotokol, Mora, Maroua, Kousseri, Bornori, Tolkomari, Kolofata and few other border communities (...) while also using the territory as a safe haven for carrying out their illicit ventures (...) The Far North of Cameroon became transit points for weapon acquisition by Boko Haram from Libya and Sudan.""; (2) ""The first signs of Boko Haram in Cameroon date back at least to 2009. (...) Boko Haram thus established the core of its logistics network in the Far North between 2010 and 2014""",Tar and Ahmed 2022: 183-84; ICG 2016: 8-9,,,,,,,,,,,,,4,3,,,,,,
